Class,Subject,Chapter,Title,Resource Types,DIKSHA,YouTube,NCERT,GeoGebra,PhET
6,English,1,A Bottle of Dew,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+English+A+Bottle+of+Dew,https://www.youtube.com/results?search_query=Class+6+English+A+Bottle+of+Dew+explanation,https://ncert.nic.in/textbook.php,,
6,English,2,The Unlikely Best Friends,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+English+The+Unlikely+Best+Friends,https://www.youtube.com/results?search_query=Class+6+English+The+Unlikely+Best+Friends+explanation,https://ncert.nic.in/textbook.php,,
6,English,3,Neem Baba,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+English+Neem+Baba,https://www.youtube.com/results?search_query=Class+6+English+Neem+Baba+explanation,https://ncert.nic.in/textbook.php,,
6,English,4,Change of Heart,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+English+Change+of+Heart,https://www.youtube.com/results?search_query=Class+6+English+Change+of+Heart+explanation,https://ncert.nic.in/textbook.php,,
6,English,5,Culture and Tradition,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+English+Culture+and+Tradition,https://www.youtube.com/results?search_query=Class+6+English+Culture+and+Tradition+explanation,https://ncert.nic.in/textbook.php,,
6,Hindi,1,मातृभूमि,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+Hindi+%E0%A4%AE%E0%A4%BE%E0%A4%A4%E0%A5%83%E0%A4%AD%E0%A5%82%E0%A4%AE%E0%A4%BF,https://www.youtube.com/results?search_query=Class+6+Hindi+%E0%A4%AE%E0%A4%BE%E0%A4%A4%E0%A5%83%E0%A4%AD%E0%A5%82%E0%A4%AE%E0%A4%BF+explanation,https://ncert.nic.in/textbook.php,,
6,Hindi,10,परीक्षा,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+Hindi+%E0%A4%AA%E0%A4%B0%E0%A5%80%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE,https://www.youtube.com/results?search_query=Class+6+Hindi+%E0%A4%AA%E0%A4%B0%E0%A5%80%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%BE+explanation,https://ncert.nic.in/textbook.php,,
6,Hindi,11,चेतक की वीरता,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+Hindi+%E0%A4%9A%E0%A5%87%E0%A4%A4%E0%A4%95+%E0%A4%95%E0%A5%80+%E0%A4%B5%E0%A5%80%E0%A4%B0%E0%A4%A4%E0%A4%BE,https://www.youtube.com/results?search_query=Class+6+Hindi+%E0%A4%9A%E0%A5%87%E0%A4%A4%E0%A4%95+%E0%A4%95%E0%A5%80+%E0%A4%B5%E0%A5%80%E0%A4%B0%E0%A4%A4%E0%A4%BE+explanation,https://ncert.nic.in/textbook.php,,
6,Hindi,12,हिंद महासागर में छोटा-सा हिंदुस्तान,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+Hindi+%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6+%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%B8%E0%A4%BE%E0%A4%97%E0%A4%B0+%E0%A4%AE%E0%A5%87%E0%A4%82+%E0%A4%9B%E0%A5%8B%E0%A4%9F%E0%A4%BE-%E0%A4%B8%E0%A4%BE+%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%81%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8,https://www.youtube.com/results?search_query=Class+6+Hindi+%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6+%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%B8%E0%A4%BE%E0%A4%97%E0%A4%B0+%E0%A4%AE%E0%A5%87%E0%A4%82+%E0%A4%9B%E0%A5%8B%E0%A4%9F%E0%A4%BE-%E0%A4%B8%E0%A4%BE+%E0%A4%B9%E0%A4%BF%E0%A4%82%E0%A4%A6%E0%A5%81%E0%A4%B8%E0%A5%8D%E0%A4%A4%E0%A4%BE%E0%A4%A8+explanation,https://ncert.nic.in/textbook.php,,
6,Hindi,13,पेड़ की बात,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+Hindi+%E0%A4%AA%E0%A5%87%E0%A4%A1%E0%A4%BC+%E0%A4%95%E0%A5%80+%E0%A4%AC%E0%A4%BE%E0%A4%A4,https://www.youtube.com/results?search_query=Class+6+Hindi+%E0%A4%AA%E0%A5%87%E0%A4%A1%E0%A4%BC+%E0%A4%95%E0%A5%80+%E0%A4%AC%E0%A4%BE%E0%A4%A4+explanation,https://ncert.nic.in/textbook.php,,
6,Hindi,2,गोल,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+Hindi+%E0%A4%97%E0%A5%8B%E0%A4%B2,https://www.youtube.com/results?search_query=Class+6+Hindi+%E0%A4%97%E0%A5%8B%E0%A4%B2+explanation,https://ncert.nic.in/textbook.php,,
6,Hindi,3,पहली बूँद,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+Hindi+%E0%A4%AA%E0%A4%B9%E0%A4%B2%E0%A5%80+%E0%A4%AC%E0%A5%82%E0%A4%81%E0%A4%A6,https://www.youtube.com/results?search_query=Class+6+Hindi+%E0%A4%AA%E0%A4%B9%E0%A4%B2%E0%A5%80+%E0%A4%AC%E0%A5%82%E0%A4%81%E0%A4%A6+explanation,https://ncert.nic.in/textbook.php,,
6,Hindi,4,हार की जीत,video; image; document/reading; quiz; worksheet; audio/read-aloud; vocabulary-visual; pronunciation/audio,https://diksha.gov.in/search?query=NCERT+Class+6+Hindi+%E0%A4%B9%E0%A4%BE%E0%A4%B0+%E0%A4%95%E0%A5%80+%E0%A4%9C%E0%A5%80%E0%A4%A4,https://www.youtube.com/results?search_query=Class+6+Hindi+%E0%A4%B9%E0%A4%BE%E0%A4%B0+%E0%A4%95%E0%A5%80+%E0%A4%9C%E0%A5%80%E0%A4%A4+explanation,https://ncert.nic.in/textbook.php,,
